category_code,domain_type,occurrence_category,description
LOC-I,Operations,Loss of Control In-Flight,"A KF/aircraft state deviation resulting in loss of control."
CFIT,Operations,Controlled Flight Into Terrain or Water,"Collision or near collision with terrain, water, or obstacle without pilot awareness."
RE,Operations,Runway Excursion,"A veer-off or overrun from the runway surface."
ARC,Operations,Abnormal Runway Contact,"Landing or takeoff with abnormal runway contact (e.g., hard landing)."
SCF-PP,Aircraft Systems,"System/Component Failure or Malfunction (Powerplant)","Failure or malfunction of an engine or powerplant component."
SCF-NP,Aircraft Systems,"System/Component Failure or Malfunction (Non-Powerplant)","Failure or malfunction of aircraft systems other than engines (e.g., hydraulics, flight controls)."
F-POST,Operations,Fire/Smoke (Post-Impact),"Fire or smoke occurring after the aircraft has impacted terrain or object."
F-NI,Operations,Fire/Smoke (Non-Impact),"Fire or smoke occurring during flight or ground operations without impact."
RAMP,Ground Operations,Ground Handling Event,"Incidents occurring during ramp handling, servicing, or towing."
WSTRW,Environment,Windshear or Thunderstorm,"Encountering severe weather phenomena such as windshear, microbursts, or turbulence."
SEC,Security,Security/Unlawful Interference,"Acts of unlawful interference, bomb threats, or security breaches."
GTOW,Operations,"Glider Tow / External Load Event","Events associated with external loads or towing operations."
NAV,Air Navigation,"Air Navigation Services / ATC Event","Deficiencies or occurrences involving air traffic management or navigation services."
BIRD,Environment,"Wildlife / Bird Strike","Impact with birds or other wildlife during flight or on ground rollout."
UNK,General,Unknown or Undetermined,"Occurrence data is insufficient to determine category."
